Country Name,Country Code,Indicator Name,year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Japan,JPN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,22026785842,26966713726,32270972031,41576284285,62536307379,63986133887,76182443149,90568192250,1.08E+11,1.17E+11,1.45E+11,1.72E+11,1.58E+11,1.65E+11,1.90E+11,1.94E+11,2.27E+11,2.52E+11,2.94E+11,3.09E+11,3.20E+11,3.51E+11,3.79E+11,4.04E+11,4.42E+11,4.89E+11,4.59E+11,4.66E+11,4.25E+11,4.55E+11,5.20E+11,4.41E+11,4.54E+11,5.18E+11,6.26E+11,6.67E+11,7.20E+11,7.92E+11,8.80E+11,6.57E+11,8.59E+11,9.21E+11,9.04E+11,8.23E+11,8.53E+11,7.75E+11,8.03E+11,8.67E+11,9.23E+11,8.94E+11,7.85E+11,9.13E+11,9.18E+11,9.23E+11,9.21E+11,
Country Name,Country Code,Indicator Name,year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Japan,JPN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,19572635781,20867004112,25436329222,41807597571,66503972919,64302596002,72270446349,79894824196,91906326826,1.27E+11,1.56E+11,1.65E+11,1.52E+11,1.46E+11,1.58E+11,1.50E+11,1.50E+11,1.82E+11,2.34E+11,2.68E+11,2.96E+11,2.97E+11,2.99E+11,3.09E+11,3.48E+11,4.20E+11,4.40E+11,4.22E+11,3.54E+11,3.86E+11,4.52E+11,4.15E+11,4.01E+11,4.46E+11,5.32E+11,6.00E+11,6.61E+11,7.11E+11,8.63E+11,6.33E+11,7.82E+11,9.61E+11,1.01E+12,9.48E+11,9.80E+11,8.00E+11,7.63E+11,8.30E+11,9.22E+11,9.09E+11,7.99E+11,9.39E+11,1.08E+12,9.88E+11,9.58E+11,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,12.04353636,8.908973036,8.473642436,11.67670825,5.81970784,10.63856159,11.08214233,12.88246817,12.47789454,0.399050611,4.698992042,8.413547255,8.032599975,-1.225239828,3.091575916,3.974984091,4.39033795,5.271941503,5.484041832,2.817591207,4.209336465,3.312456737,3.523044985,4.501994816,5.233380947,3.326525616,4.73066586,6.78502011,4.858037686,4.892713066,3.417496762,0.848069581,-0.517919847,0.993066363,2.342055462,3.075467314,1.362971094,-1.77264091,-0.347600399,2.978326888,0.284608556,0.084988805,1.380109358,2.112948237,1.848281337,1.546308431,1.728379129,-1.166622094,-5.935941138,4.136455892,-0.200357853,1.64893453,1.997276534,0.905915486,1.799977358,0.704986495,1.623450622,0.834143846,-0.308496921,-4.283279427,3.564195315,1.331647507,0.720785305,-0.240084236,1.193112884
OECD members,OED,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.352800423,5.539162948,5.09705902,6.491181913,5.503306398,5.547475192,3.82867785,5.96453447,5.517558028,2.7606679,3.582981771,5.319359996,6.119950218,1.178754596,0.399512298,4.769435764,3.668504319,4.365363975,3.8831018,1.19891578,2.09313367,0.21657001,2.846735005,4.791458566,3.652930945,3.100610274,3.53330516,4.496318892,3.73412847,2.909940927,1.142020448,2.128716127,1.431651506,3.337122067,2.775249468,3.113410135,3.680636204,2.936460984,3.441315008,4.141947812,1.394192833,1.545734133,2.0255545,3.254503437,2.854688784,3.061191344,2.648837013,0.398567531,-3.397627529,2.97338504,1.849679181,1.404609676,1.62369646,2.238734234,2.530809003,1.854637742,2.612041885,2.389310173,1.853015869,-3.864329163,6.094715336,3.158548092,1.789371612,1.782184446,1.770058531
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.913818075,5.32119155,5.019485743,6.629732895,5.630947846,5.418885665,3.738066011,5.947222989,5.961314481,3.765364228,4.108978445,5.537761778,6.457727017,1.991907103,0.814483282,5.221203386,3.941448758,4.13711682,4.140877321,1.81532833,1.888174921,0.411099685,2.576875452,4.728119482,3.659925629,3.305047279,3.751407205,4.529175125,3.638243263,2.70835661,1.225181268,2.063224893,1.858026991,3.416227585,3.178073216,3.586234018,3.996789156,2.781252822,3.578568191,4.56720186,2.029944476,2.318915353,3.074163184,4.495378598,4.059151394,4.489135105,4.431233768,2.091604481,-1.333038142,4.520852139,3.314318393,2.747433594,2.889747656,3.168491931,3.127213257,2.789740742,3.446586232,3.286630865,2.680308748,-2.886211855,6.485088876,3.440010973,2.859384933,2.900013402,2.921273185
DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,,,,,,,
IMF.RES:WEO(9.0.0),JPN.LUR.A,OBS_VALUE,Japan,Unemployment rate,Annual,Units,2.017,2.208,2.35,2.658,2.708,2.625,2.767,2.85,2.517,2.25,2.1,2.092,2.15,2.5,2.892,3.15,3.367,3.4,4.1,4.667,4.733,5.042,5.358,5.242,4.733,4.425,4.117,3.833,3.983,5.075,5.058,4.583,4.325,4.008,3.583,3.375,3.108,2.817,2.433,2.358,2.8,2.817,2.592,2.567,2.533,2.533,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
